mousedown at (250, 375) on 2024-10-05T06:53:09.918Z
mouseup at (80, 426) on 2024-10-05T06:53:11.399Z
click at (80, 426) on 2024-10-05T06:53:11.400Z
mousedown at (563, 458) on 2024-10-05T07:01:51.686Z
mouseup at (519, 423) on 2024-10-05T07:01:53.021Z
click at (519, 423) on 2024-10-05T07:01:53.022Z
mousedown at (563, 309) on 2024-10-05T07:04:06.269Z
mouseup at (563, 309) on 2024-10-05T07:04:06.349Z
click at (563, 309) on 2024-10-05T07:04:06.349Z
mousedown at (562, 209) on 2024-10-05T07:04:09.821Z
mouseup at (562, 209) on 2024-10-05T07:04:09.909Z
click at (562, 209) on 2024-10-05T07:04:09.909Z
mousedown at (493, 201) on 2024-10-05T07:04:11.854Z
mouseup at (493, 201) on 2024-10-05T07:04:11.924Z
click at (493, 201) on 2024-10-05T07:04:11.925Z
mousedown at (360, 353) on 2024-10-05T08:44:29.155Z
mouseup at (360, 353) on 2024-10-05T08:44:29.337Z
click at (360, 353) on 2024-10-05T08:44:29.338Z
mousedown at (559, 300) on 2024-10-05T08:44:43.547Z
mouseup at (559, 300) on 2024-10-05T08:44:43.727Z
click at (559, 300) on 2024-10-05T08:44:43.728Z
mousedown at (565, 304) on 2024-10-05T08:44:45.982Z
mouseup at (565, 304) on 2024-10-05T08:44:46.161Z
click at (565, 304) on 2024-10-05T08:44:46.162Z
mousedown at (633, 245) on 2024-10-05T08:44:50.693Z
mouseup at (633, 245) on 2024-10-05T08:44:50.875Z
click at (633, 245) on 2024-10-05T08:44:50.876Z
mousedown at (377, 210) on 2024-10-05T08:45:03.444Z
mouseup at (377, 210) on 2024-10-05T08:45:03.623Z
click at (377, 210) on 2024-10-05T08:45:03.624Z
mousedown at (429, 348) on 2024-10-05T08:45:04.474Z
mouseup at (418, 428) on 2024-10-05T08:45:06.490Z
click at (418, 428) on 2024-10-05T08:45:06.491Z
mousedown at (312, 244) on 2024-10-05T08:45:09.885Z
mouseup at (312, 244) on 2024-10-05T08:45:10.067Z
click at (312, 244) on 2024-10-05T08:45:10.068Z
mousedown at (363, 403) on 2024-10-05T08:45:26.637Z
mouseup at (363, 403) on 2024-10-05T08:45:26.819Z
click at (363, 403) on 2024-10-05T08:45:26.820Z
mousedown at (548, 320) on 2024-10-05T08:45:34.561Z
mouseup at (548, 320) on 2024-10-05T08:45:34.742Z
click at (548, 320) on 2024-10-05T08:45:34.743Z
mousedown at (586, 391) on 2024-10-05T08:45:37.663Z
mouseup at (586, 391) on 2024-10-05T08:45:37.846Z
click at (586, 391) on 2024-10-05T08:45:37.846Z
mousedown at (335, 164) on 2024-10-05T08:45:45.030Z
mouseup at (335, 164) on 2024-10-05T08:45:45.211Z
click at (335, 164) on 2024-10-05T08:45:45.212Z
mousedown at (389, 255) on 2024-10-05T08:45:49.021Z
mouseup at (389, 255) on 2024-10-05T08:45:49.201Z
click at (389, 255) on 2024-10-05T08:45:49.203Z
mousedown at (328, 427) on 2024-10-05T08:45:56.322Z
mouseup at (328, 427) on 2024-10-05T08:45:56.502Z
click at (328, 427) on 2024-10-05T08:45:56.503Z
mousedown at (426, 451) on 2024-10-05T08:45:59.752Z
mouseup at (426, 451) on 2024-10-05T08:45:59.937Z
click at (426, 451) on 2024-10-05T08:45:59.940Z
mousedown at (485, 463) on 2024-10-05T08:46:06.461Z
mouseup at (485, 463) on 2024-10-05T08:46:06.641Z
click at (485, 463) on 2024-10-05T08:46:06.642Z
mousedown at (438, 400) on 2024-10-05T08:46:09.571Z
mouseup at (438, 400) on 2024-10-05T08:46:09.754Z
click at (438, 400) on 2024-10-05T08:46:09.755Z
mousedown at (455, 179) on 2024-10-05T08:46:20.852Z
mouseup at (455, 179) on 2024-10-05T08:46:21.033Z
click at (455, 179) on 2024-10-05T08:46:21.034Z
mousedown at (494, 112) on 2024-10-05T08:46:29.541Z
mouseup at (494, 112) on 2024-10-05T08:46:29.721Z
click at (494, 112) on 2024-10-05T08:46:29.722Z
mousedown at (573, 280) on 2024-10-05T09:08:25.784Z
mouseup at (662, 193) on 2024-10-05T09:08:26.988Z
click at (662, 193) on 2024-10-05T09:08:26.989Z
mousedown at (125, 552) on 2024-10-05T09:27:53.736Z
mouseup at (125, 552) on 2024-10-05T09:27:53.810Z
click at (125, 552) on 2024-10-05T09:27:53.811Z
mousedown at (197, 560) on 2024-10-05T09:27:57.126Z
mouseup at (197, 560) on 2024-10-05T09:27:57.148Z
click at (197, 560) on 2024-10-05T09:27:57.149Z
mousedown at (226, 542) on 2024-10-05T09:28:00.445Z
mouseup at (226, 542) on 2024-10-05T09:28:00.453Z
click at (226, 542) on 2024-10-05T09:28:00.454Z
mousedown at (228, 490) on 2024-10-05T09:28:07.438Z
mouseup at (228, 490) on 2024-10-05T09:28:07.439Z
click at (228, 490) on 2024-10-05T09:28:07.441Z
mousedown at (219, 486) on 2024-10-05T09:28:08.045Z
mouseup at (219, 486) on 2024-10-05T09:28:08.053Z
click at (219, 486) on 2024-10-05T09:28:08.055Z
mousedown at (217, 432) on 2024-10-05T09:28:11.574Z
mouseup at (217, 432) on 2024-10-05T09:28:11.579Z
click at (217, 432) on 2024-10-05T09:28:11.580Z
mousedown at (222, 423) on 2024-10-05T09:28:12.179Z
mouseup at (222, 423) on 2024-10-05T09:28:12.184Z
click at (222, 423) on 2024-10-05T09:28:12.189Z
mousedown at (226, 439) on 2024-10-05T09:28:21.627Z
mouseup at (226, 439) on 2024-10-05T09:28:21.634Z
click at (226, 439) on 2024-10-05T09:28:21.640Z
mousedown at (180, 417) on 2024-10-05T09:28:22.699Z
mouseup at (180, 417) on 2024-10-05T09:28:22.705Z
click at (180, 417) on 2024-10-05T09:28:22.707Z
mousedown at (236, 513) on 2024-10-05T09:28:29.342Z
mouseup at (236, 513) on 2024-10-05T09:28:29.345Z
click at (236, 513) on 2024-10-05T09:28:29.346Z
mousedown at (174, 461) on 2024-10-05T09:28:53.562Z
mouseup at (174, 461) on 2024-10-05T09:28:53.566Z
click at (174, 461) on 2024-10-05T09:28:53.568Z
mousedown at (178, 462) on 2024-10-05T09:33:48.165Z
mouseup at (178, 462) on 2024-10-05T09:33:48.209Z
click at (178, 462) on 2024-10-05T09:33:48.210Z
mousedown at (168, 455) on 2024-10-05T09:33:49.071Z
mouseup at (168, 455) on 2024-10-05T09:33:49.080Z
click at (168, 455) on 2024-10-05T09:33:49.083Z
mousedown at (69, 538) on 2024-10-05T09:33:50.608Z
mouseup at (69, 538) on 2024-10-05T09:33:50.613Z
click at (69, 538) on 2024-10-05T09:33:50.615Z
mousedown at (260, 420) on 2024-10-05T09:33:55.965Z
mouseup at (260, 420) on 2024-10-05T09:33:55.974Z
click at (260, 420) on 2024-10-05T09:33:55.975Z
mousedown at (260, 428) on 2024-10-05T09:33:56.648Z
mouseup at (260, 428) on 2024-10-05T09:33:56.652Z
click at (260, 428) on 2024-10-05T09:33:56.655Z
mousedown at (65, 459) on 2024-10-05T09:34:15.036Z
mouseup at (65, 459) on 2024-10-05T09:34:15.038Z
click at (65, 459) on 2024-10-05T09:34:15.041Z
mousedown at (59, 461) on 2024-10-05T09:34:16.229Z
mouseup at (59, 461) on 2024-10-05T09:34:16.234Z
click at (59, 461) on 2024-10-05T09:34:16.236Z
mousedown at (88, 401) on 2024-10-05T09:34:21.625Z
mouseup at (88, 401) on 2024-10-05T09:34:21.632Z
click at (88, 401) on 2024-10-05T09:34:21.633Z
mousedown at (70, 557) on 2024-10-05T09:34:27.784Z
mouseup at (70, 557) on 2024-10-05T09:34:27.790Z
click at (70, 557) on 2024-10-05T09:34:27.792Z
mousedown at (119, 446) on 2024-10-05T09:34:29.451Z
mouseup at (119, 446) on 2024-10-05T09:34:29.457Z
click at (119, 446) on 2024-10-05T09:34:29.459Z
mousedown at (222, 441) on 2024-10-05T09:34:36.504Z
mouseup at (222, 441) on 2024-10-05T09:34:36.509Z
click at (222, 441) on 2024-10-05T09:34:36.513Z
mousedown at (258, 480) on 2024-10-05T09:34:37.921Z
mouseup at (258, 480) on 2024-10-05T09:34:37.923Z
click at (258, 480) on 2024-10-05T09:34:37.925Z
mousedown at (256, 455) on 2024-10-05T09:34:38.469Z
mouseup at (256, 455) on 2024-10-05T09:34:38.473Z
click at (256, 455) on 2024-10-05T09:34:38.475Z
mousedown at (259, 461) on 2024-10-05T09:34:39.056Z
mouseup at (259, 461) on 2024-10-05T09:34:39.064Z
click at (259, 461) on 2024-10-05T09:34:39.068Z
mousedown at (253, 471) on 2024-10-05T09:34:39.654Z
mouseup at (253, 471) on 2024-10-05T09:34:39.658Z
click at (253, 471) on 2024-10-05T09:34:39.660Z
mousedown at (227, 480) on 2024-10-05T09:34:41.063Z
mouseup at (227, 480) on 2024-10-05T09:34:41.070Z
